imageNr,layerNr,approx1,approx2,approx3,approx4,approx5,approx6,approx7,approx8
14,6,2216.0,2170.0,1920.0,2682.0,2186.0,1545.0,1773.0,1955.0
14,7,1318.0,1040.0,1153.0,1325.0,841.0,766.0,905.0,1084.0
14,8,1218.0,564.0,483.0,1566.0,339.0,2408.0,2756.0,1775.0
15,1,313888.0,284264.0,343588.0,297635.0,382194.0,233900.0,322266.0,322575.0
15,2,105812.0,95137.0,115861.0,99759.0,129030.0,78981.0,108882.0,108500.0
15,3,72009.0,65122.0,78840.0,68006.0,87907.0,53827.0,74432.0,73773.0
15,4,51689.0,48858.0,55355.0,50775.0,60170.0,40146.0,52804.0,52977.0
15,5,17891.0,16011.0,16317.0,16973.0,15538.0,12855.0,15414.0,15786.0
15,6,2142.0,2491.0,3092.0,2582.0,1844.0,2289.0,2905.0,3056.0
15,7,702.0,948.0,1137.0,1334.0,863.0,1383.0,936.0,997.0
15,8,545.0,661.0,2420.0,949.0,739.0,651.0,468.0,540.0
16,1,183464.0,240699.0,227983.0,248289.0,242235.0,307543.0,254070.0,254242.0
16,2,61878.0,79949.0,77007.0,83705.0,81576.0,103328.0,86139.0,85934.0
16,3,41810.0,54590.0,52168.0,56946.0,55111.0,70133.0,59030.0,58449.0
16,4,30010.0,41596.0,36693.0,42358.0,40704.0,50471.0,39365.0,40386.0
16,5,10029.0,11682.0,9885.0,12719.0,12528.0,15498.0,9124.0,10030.0
16,6,996.0,2029.0,1287.0,2092.0,1601.0,2838.0,2014.0,2348.0
16,7,785.0,1323.0,722.0,1294.0,953.0,1388.0,1143.0,1291.0
16,8,1222.0,1769.0,797.0,1150.0,967.0,1557.0,698.0,828.0
17,1,323600.0,280272.0,247911.0,348779.0,277968.0,275169.0,225735.0,225955.0
17,2,108841.0,94056.0,83692.0,116489.0,93922.0,92359.0,76274.0,76145.0
17,3,73894.0,64072.0,56669.0,79386.0,63756.0,62884.0,52155.0,51516.0
17,4,49821.0,46232.0,39825.0,54601.0,45590.0,44632.0,36898.0,37921.0
17,5,14196.0,13165.0,12548.0,14940.0,14750.0,12711.0,11694.0,12437.0
17,6,2791.0,2433.0,2585.0,3108.0,3487.0,2748.0,2559.0,2692.0
17,7,1412.0,1288.0,1130.0,1593.0,1682.0,1350.0,1178.0,1227.0
17,8,2328.0,1016.0,770.0,2956.0,1395.0,1054.0,1047.0,724.0
18,1,320406.0,430596.0,438545.0,383050.0,335152.0,328551.0,356087.0,356401.0
18,2,108411.0,145048.0,148026.0,129083.0,113377.0,110766.0,120745.0,120616.0
18,3,73657.0,98579.0,100500.0,87631.0,76907.0,75293.0,82366.0,81937.0
18,4,50779.0,67697.0,69291.0,63302.0,54674.0,52872.0,57843.0,58634.0
18,5,14211.0,18055.0,20391.0,18174.0,16533.0,14991.0,17851.0,18135.0
18,6,2180.0,3024.0,2225.0,2355.0,2205.0,2832.0,3487.0,3581.0
18,7,1052.0,1339.0,799.0,1624.0,1175.0,1514.0,1960.0,2054.0
18,8,781.0,879.0,583.0,1108.0,1484.0,1224.0,1383.0,1414.0
19,1,265884.0,280510.0,213503.0,195477.0,191224.0,287332.0,262514.0,262301.0
19,2,89548.0,92594.0,72119.0,65320.0,64676.0,96118.0,88697.0,87914.0
19,3,61141.0,63495.0,49162.0,44510.0,44071.0,65716.0,60521.0,59613.0
19,4,43747.0,45334.0,32013.0,32285.0,28494.0,45708.0,41124.0,41767.0
19,5,15309.0,12615.0,8355.0,8450.0,6338.0,12533.0,9777.0,10651.0
19,6,2523.0,2321.0,2297.0,1394.0,2611.0,3055.0,2850.0,3074.0
19,7,1204.0,966.0,1010.0,656.0,1266.0,1457.0,1514.0,1703.0
19,8,961.0,1256.0,1257.0,3844.0,1195.0,1359.0,1289.0,1505.0
20,1,297446.0,194104.0,224242.0,352632.0,240914.0,226179.0,300876.0,301153.0
20,2,100269.0,66275.0,75780.0,118466.0,81232.0,76497.0,101566.0,101277.0
20,3,67727.0,45090.0,51157.0,80291.0,54732.0,51611.0,68921.0,68334.0
20,4,46632.0,34479.0,34751.0,55277.0,39986.0,37862.0,48373.0,49310.0
20,5,12470.0,9974.0,9168.0,13506.0,12260.0,10988.0,14826.0,15264.0
20,6,2210.0,2078.0,1887.0,2371.0,2056.0,2681.0,2240.0,2274.0
20,7,1234.0,1070.0,817.0,1142.0,770.0,1269.0,1133.0,1118.0
20,8,828.0,469.0,684.0,1173.0,582.0,2592.0,989.0,1154.0
21,1,291333.0,317114.0,211597.0,260444.0,222096.0,249420.0,210522.0,210456.0
21,2,98080.0,104995.0,71394.0,87976.0,74877.0,83490.0,71277.0,71052.0
21,3,66664.0,71620.0,48366.0,59993.0,50537.0,56702.0,48741.0,48113.0
21,4,46815.0,50899.0,35539.0,44330.0,35742.0,41107.0,34695.0,35950.0
21,5,13210.0,14017.0,11799.0,13419.0,10293.0,11696.0,10551.0,11386.0
21,6,2514.0,2579.0,1947.0,2252.0,2486.0,1667.0,1992.0,2211.0
21,7,1283.0,1147.0,815.0,1195.0,986.0,609.0,1359.0,1602.0
21,8,777.0,4151.0,402.0,1068.0,573.0,336.0,1455.0,1183.0
22,1,357470.0,234094.0,322660.0,298697.0,277141.0,301704.0,303047.0,303107.0
22,2,120278.0,78412.0,108785.0,99821.0,93396.0,101269.0,102456.0,102121.0
22,3,81611.0,54356.0,73903.0,68124.0,63098.0,68901.0,69848.0,69169.0
22,4,55812.0,37674.0,49580.0,48440.0,42952.0,49322.0,48465.0,49055.0
22,5,15487.0,8868.0,13007.0,14135.0,11269.0,14413.0,13650.0,13780.0
22,6,1726.0,1961.0,1926.0,1544.0,2514.0,1859.0,1643.0,1710.0
22,7,904.0,869.0,776.0,751.0,1249.0,893.0,607.0,639.0
22,8,521.0,342.0,487.0,641.0,800.0,1139.0,231.0,293.0
23,1,225865.0,310186.0,228431.0,230881.0,295868.0,209193.0,309106.0,309448.0
23,2,76229.0,103670.0,77143.0,78422.0,99740.0,69954.0,104296.0,103929.0
23,3,51706.0,70995.0,52408.0,53376.0,67640.0,47284.0,71081.0,70386.0
23,4,37352.0,52666.0,37768.0,40059.0,49267.0,37698.0,51635.0,51860.0
23,5,12306.0,17686.0,11583.0,12201.0,15712.0,13010.0,16692.0,17132.0
23,6,2930.0,2603.0,2373.0,2370.0,3043.0,1891.0,2823.0,2946.0
23,7,1193.0,1282.0,1108.0,1036.0,1449.0,738.0,1264.0,1394.0
23,8,1356.0,752.0,680.0,389.0,1079.0,226.0,1485.0,1361.0
24,1,263733.0,159708.0,210918.0,166863.0,165751.0,230458.0,152371.0,152384.0
24,2,88454.0,52425.0,71141.0,55360.0,55952.0,76328.0,51619.0,51300.0
24,3,60345.0,36256.0,48669.0,37770.0,38141.0,51989.0,35722.0,35018.0
24,4,42302.0,28794.0,35470.0,31282.0,27202.0,36726.0,25488.0,26992.0
24,5,11411.0,7998.0,11118.0,9994.0,7071.0,8497.0,7236.0,8247.0
24,6,2013.0,1701.0,2073.0,2224.0,1453.0,1849.0,1902.0,2176.0
24,7,1169.0,1049.0,794.0,1231.0,663.0,718.0,1108.0,1092.0
24,8,865.0,653.0,615.0,1056.0,2261.0,1283.0,1332.0,1333.0
25,1,419279.0,447488.0,468987.0,408776.0,469630.0,415515.0,367543.0,367662.0
25,2,142022.0,152049.0,158737.0,138597.0,158749.0,140947.0,124642.0,125000.0
25,3,95842.0,102684.0,107179.0,94434.0,107082.0,95033.0,84342.0,84317.0
25,4,63213.0,68740.0,69469.0,64201.0,69717.0,63904.0,57795.0,58713.0
25,5,14366.0,16289.0,15523.0,15365.0,15043.0,15001.0,15033.0,15234.0
25,6,2498.0,2578.0,2754.0,2359.0,2590.0,2531.0,2098.0,2197.0
